OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O3,1730000,381000,36,50,HONDA,LUNAS
O3,1794800,573000,24,39,KAWASAKI,LUNAS
O3,1340000,389000,35,43,SUZUKI,LUNAS
O3,1422000,351000,24,37,SUZUKI,LUNAS
O2,1166000,595000,24,35,SUZUKI,LUNAS
O3,1034900,330000,36,55,SUZUKI,LUNAS
O2,2000000,453000,24,36,SUZUKI,LUNAS
O3,1640000,485000,35,39,SUZUKI,TARIKAN
O3,1525200,422000,36,58,SUZUKI,LUNAS
O2,6664640,427000,36,30,KAWASAKI,LUNAS
O2,1216405,404000,30,27,KAWASAKI,LUNAS
O2,1534000,468000,36,34,HONDA,LUNAS
O2,1370670,392000,35,32,SUZUKI,LUNAS
O2,1440810,450000,35,48,KAWASAKI,LUNAS
O3,967500,563000,29,57,KAWASAKI,LUNAS
O3,1786000,423000,36,43,KAWASAKI,LUNAS
O2,1100000,333000,36,27,SUZUKI,LUNAS
O3,1484000,427000,36,29,KAWASAKI,TARIKAN
O3,1630000,370000,36,51,SUZUKI,LUNAS
O3,1156750,339000,36,34,SUZUKI,LUNAS
O3,2870000,720000,18,39,SUZUKI,LUNAS
O2,1473943,392000,35,38,SUZUKI,LUNAS
O2,1151326,373000,36,32,SUZUKI,LUNAS
O2,1654000,504000,23,53,SUZUKI,LUNAS
O3,2145680,458000,36,48,SUZUKI,LUNAS
O2,1179280,363000,24,49,HONDA,LUNAS
O3,2640000,876000,18,40,HONDA,LUNAS
O3,2082800,475000,36,34,KAWASAKI,LUNAS
O3,1520000,464000,35,45,KAWASAKI,LUNAS
O3,1913000,389000,35,38,SUZUKI,LUNAS
O3,1975360,600000,24,36,SUZUKI,LUNAS
O3,1605400,485000,35,46,SUZUKI,LUNAS
O3,3010000,444000,36,49,SUZUKI,LUNAS
O3,1301280,308000,36,43,SUZUKI,LUNAS
O4,5464000,464000,35,53,KAWASAKI,TARIKAN
O3,1318000,364000,36,33,SUZUKI,LUNAS
O4,6900750,361000,36,54,SUZUKI,LUNAS
O3,1081000,357000,36,43,SUZUKI,LUNAS
O3,1714000,490000,24,50,SUZUKI,LUNAS
O3,2721280,844000,12,34,SUZUKI,LUNAS
O2,831200,370000,36,40,SUZUKI,LUNAS
O3,2200000,678000,12,36,HONDA,LUNAS
O3,4014000,485000,35,50,SUZUKI,LUNAS
O3,3132000,457000,36,47,SUZUKI,LUNAS
O3,2412000,504000,30,43,SUZUKI,LUNAS
O3,1565000,464000,36,43,HONDA,LUNAS
O3,2134600,542000,35,57,SUZUKI,LUNAS
O3,1325175,420000,36,50,KAWASAKI,LUNAS
O3,1517840,502000,35,44,KAWASAKI,LUNAS
O3,1740000,463000,30,57,KAWASAKI,LUNAS
O3,1758000,475000,36,44,KAWASAKI,LUNAS
O2,1900000,595000,24,29,HONDA,LUNAS
O3,1372000,359000,36,43,YAMAHA,LUNAS
O3,1488000,294000,36,30,SUZUKI,LUNAS
O2,1679797,489000,35,32,KAWASAKI,LUNAS
O4,5870000,974000,12,45,HONDA,LUNAS
O2,756471,566000,30,45,YAMAHA,LUNAS
O3,1896000,338000,36,38,KAWASAKI,LUNAS
